N,E
3342076.428460,506930.031049
3342075.756496,506929.290465
3342075.084533,506928.549880
3342074.412569,506927.809296
3342073.740606,506927.068712
3342073.068642,506926.328128
3342072.396679,506925.587543
3342071.724715,506924.846959
3342071.052752,506924.106375
3342070.380788,506923.365791
3342069.708825,506922.625207
3342069.036861,506921.884622
3342068.364898,506921.144038
3342067.692934,506920.403454
3342067.020971,506919.662870
3342066.349007,506918.922285
3342065.677044,506918.181701
3342065.005080,506917.441117
3342064.333117,506916.700533
3342063.661153,506915.959948
3342062.989190,506915.219364
3342062.317226,506914.478780
3342061.645262,506913.738196
3342060.973299,506912.997611
3342060.301335,506912.257027
3342059.629372,506911.516443
3342058.957408,506910.775859
3342058.285445,506910.035274
3342057.613481,506909.294690
3342056.941518,506908.554106
3342056.269554,506907.813522
3342055.597591,506907.072937
3342054.925627,506906.332353
3342054.253664,506905.591769
3342053.581700,506904.851185
3342052.909737,506904.110600
3342052.237773,506903.370016
3342051.565810,506902.629432
3342050.893846,506901.888848
3342050.221883,506901.148263
3342049.549919,506900.407679
3342048.877956,506899.667095
3342048.205992,506898.926511
3342047.534028,506898.185926
3342046.862065,506897.445342
3342046.190101,506896.704758
3342045.518138,506895.964174
3342044.846174,506895.223589
3342044.174211,506894.483005
3342043.502247,506893.742421
3342042.830284,506893.001837
3342042.158320,506892.261252
3342041.486357,506891.520668
3342040.814393,506890.780084
3342040.142430,506890.039500
3342039.470466,506889.298916
3342038.798503,506888.558331
3342038.126539,506887.817747
3342037.454576,506887.077163
3342036.782612,506886.336579
3342036.110649,506885.595994
3342035.438685,506884.855410
3342034.766722,506884.114826
3342034.094758,506883.374242
3342033.422794,506882.633657
3342032.750831,506881.893073
3342032.078867,506881.152489
3342031.406904,506880.411905
3342030.734940,506879.671320
3342030.062977,506878.930736
3342029.391013,506878.190152
3342028.719050,506877.449568
3342028.047086,506876.708983
3342027.375123,506875.968399
3342026.703159,506875.227815
3342026.031196,506874.487231
3342025.359232,506873.746646
3342024.687269,506873.006062
3342024.015305,506872.265478
3342023.343342,506871.524894
3342022.671378,506870.784309
3342021.999415,506870.043725
3342021.327451,506869.303141
3342020.655488,506868.562557
3342019.983524,506867.821972
3342019.311560,506867.081388
3342018.639597,506866.340804
3342017.967633,506865.600220
3342017.295670,506864.859635
3342016.623706,506864.119051
3342015.951743,506863.378467
3342015.279779,506862.637883
3342014.607816,506861.897298
3342013.935852,506861.156714
3342013.263889,506860.416130
3342012.591925,506859.675546
3342011.919962,506858.934961
3342011.247998,506858.194377
3342010.576035,506857.453793
3342009.904071,506856.713209
3342009.232108,506855.972625
3342008.560144,506855.232040
3342007.888181,506854.491456
3342007.216217,506853.750872
3342006.544254,506853.010288
3342005.872290,506852.269703
3342005.200326,506851.529119
3342004.528363,506850.788535
3342003.856399,506850.047951
3342003.184436,506849.307366
3342002.512472,506848.566782
3342001.840509,506847.826198
3342001.168545,506847.085614
3342000.496582,506846.345029
3341999.824618,506845.604445
3341999.152655,506844.863861
3341998.480691,506844.123277
3341997.808728,506843.382692
3341997.136764,506842.642108
3341996.464801,506841.901524
3341995.792837,506841.160940
3341995.120874,506840.420355
3341994.448910,506839.679771
3341993.776947,506838.939187
3341993.104983,506838.198603
3341992.433020,506837.458018
3341991.761056,506836.717434
3341991.089092,506835.976850
3341990.417129,506835.236266
3341989.745165,506834.495681
3341989.073202,506833.755097
3341988.401238,506833.014513
3341987.729275,506832.273929
3341987.057311,506831.533344
3341986.385348,506830.792760
3341985.713384,506830.052176
3341985.041421,506829.311592
3341984.369457,506828.571007
3341983.697494,506827.830423
3341983.025530,506827.089839
3341982.353567,506826.349255
3341981.681603,506825.608671
3341981.009640,506824.868086
3341980.337676,506824.127502
3341979.665713,506823.386918
3341978.993749,506822.646334
3341978.321786,506821.905749
3341977.649822,506821.165165
3341976.977858,506820.424581
3341976.305895,506819.683997
3341975.633931,506818.943412
3341974.961968,506818.202828
3341974.290004,506817.462244
3341973.618041,506816.721660
3341972.946077,506815.981075
3341972.274114,506815.240491
3341971.602150,506814.499907
3341970.930187,506813.759323
3341970.258223,506813.018738
3341969.586260,506812.278154
3341968.914296,506811.537570
3341968.242333,506810.796986
3341967.570369,506810.056401
3341966.898406,506809.315817
3341966.226442,506808.575233
3341965.554479,506807.834649
3341964.882515,506807.094064
3341964.210552,506806.353480
3341963.538588,506805.612896
3341962.866625,506804.872312
3341962.194661,506804.131727
3341961.522697,506803.391143
3341960.850734,506802.650559
3341960.178770,506801.909975
3341959.506807,506801.169390
3341958.834843,506800.428806
3341958.162880,506799.688222
3341957.490916,506798.947638
3341956.818953,506798.207053
3341956.146989,506797.466469
3341955.475026,506796.725885
3341954.803062,506795.985301
3341954.131099,506795.244716
3341953.459135,506794.504132
3341952.787172,506793.763548
3341952.115208,506793.022964
3341951.443245,506792.282380
3341950.771281,506791.541795
3341950.099318,506790.801211
3341949.427354,506790.060627
3341948.755391,506789.320043
3341948.083427,506788.579458
3341947.411463,506787.838874
3341946.739500,506787.098290
3341946.067536,506786.357706
3341945.395573,506785.617121
3341944.723609,506784.876537
3341944.051646,506784.135953
3341943.379682,506783.395369
3341942.707719,506782.654784
3341942.035755,506781.914200
3341941.363792,506781.173616
3341940.691828,506780.433032
3341940.019865,506779.692447
3341939.347901,506778.951863
3341938.675938,506778.211279
3341938.003974,506777.470695
3341937.332011,506776.730110
3341936.660047,506775.989526
3341935.988084,506775.248942
3341935.316120,506774.508358
3341934.644157,506773.767773
3341933.972193,506773.027189
3341933.300229,506772.286605
3341932.628266,506771.546021
3341931.956302,506770.805436
3341931.284339,506770.064852
3341930.612375,506769.324268
3341929.940412,506768.583684
3341929.268448,506767.843099
3341928.596485,506767.102515
3341927.924521,506766.361931
3341927.252558,506765.621347
3341926.580594,506764.880762
3341925.908631,506764.140178
3341925.236667,506763.399594
3341924.564704,506762.659010
3341923.892740,506761.918425
3341923.220777,506761.177841
3341922.548813,506760.437257
3341921.876850,506759.696673
3341921.204886,506758.956089
3341920.532923,506758.215504
3341919.860959,506757.474920
3341919.188995,506756.734336
3341918.517032,506755.993752
3341917.845068,506755.253167
3341917.173105,506754.512583
3341916.501141,506753.771999
3341915.829178,506753.031415
3341915.157214,506752.290830
3341914.485251,506751.550246
3341913.813287,506750.809662
3341913.141324,506750.069078
3341912.469360,506749.328493
3341911.797397,506748.587909
3341911.125433,506747.847325
3341910.453470,506747.106741
3341909.781506,506746.366156
3341909.109543,506745.625572
3341908.437579,506744.884988
3341907.765616,506744.144404
3341907.093652,506743.403819
3341906.421689,506742.663235
3341905.749725,506741.922651
3341905.077761,506741.182067
3341904.405798,506740.441482
3341903.733834,506739.700898
3341903.061871,506738.960314
3341902.389907,506738.219730
3341901.717944,506737.479145
3341901.045980,506736.738561
3341900.374017,506735.997977
3341899.702053,506735.257393
3341899.030090,506734.516808
3341898.358126,506733.776224
3341897.686163,506733.035640
3341897.014199,506732.295056
3341896.342236,506731.554471
3341895.670272,506730.813887
3341894.998309,506730.073303
3341894.326345,506729.332719
3341893.654382,506728.592135
3341892.982418,506727.851550
3341892.310455,506727.110966
3341891.638491,506726.370382
3341890.966527,506725.629798
3341890.294564,506724.889213
3341889.622600,506724.148629
3341888.950637,506723.408045
3341888.278673,506722.667461
3341887.606710,506721.926876
3341886.934746,506721.186292
3341886.262783,506720.445708
3341885.590819,506719.705124
3341884.918856,506718.964539
3341884.246892,506718.223955
3341883.574929,506717.483371
3341882.902965,506716.742787
3341882.231002,506716.002202
3341881.559038,506715.261618
3341880.887075,506714.521034
3341880.215111,506713.780450
3341879.543148,506713.039865
3341878.871184,506712.299281
3341878.199221,506711.558697
3341877.527257,506710.818113
3341876.855293,506710.077528
3341876.183330,506709.336944
3341875.511366,506708.596360
3341874.839403,506707.855776
3341874.167439,506707.115191
3341873.495476,506706.374607
3341872.823512,506705.634023
3341872.151549,506704.893439
3341871.479585,506704.152854
3341870.807622,506703.412270
3341870.135658,506702.671686
3341869.463695,506701.931102
3341868.791731,506701.190517
3341868.119768,506700.449933
3341867.447804,506699.709349
3341866.775841,506698.968765
3341866.103877,506698.228180
3341865.431914,506697.487596
3341864.759950,506696.747012
3341864.087987,506696.006428
3341863.416023,506695.265844
3341862.744059,506694.525259
3341862.072096,506693.784675
3341861.400132,506693.044091
3341860.728169,506692.303507
3341860.056205,506691.562922
3341859.384242,506690.822338
3341858.712278,506690.081754
3341858.040315,506689.341170
3341857.368351,506688.600585
3341856.696388,506687.860001
3341856.024424,506687.119417
3341855.352461,506686.378833
3341854.680497,506685.638248
3341854.008534,506684.897664
3341853.336570,506684.157080
3341852.664607,506683.416496
3341851.992643,506682.675911
3341851.320680,506681.935327
3341850.648716,506681.194743
3341849.976753,506680.454159
3341849.304789,506679.713574
3341848.632825,506678.972990
3341847.960862,506678.232406
3341847.288898,506677.491822
3341846.616935,506676.751237
3341845.944971,506676.010653
3341845.273008,506675.270069
3341844.601044,506674.529485
3341843.929081,506673.788900
3341843.257117,506673.048316
3341842.585154,506672.307732
3341841.913190,506671.567148
3341841.241227,506670.826563
3341840.569263,506670.085979
3341839.897300,506669.345395
3341839.225336,506668.604811
3341838.553373,506667.864226
3341837.881409,506667.123642
3341837.209446,506666.383058
3341836.537482,506665.642474
3341835.865519,506664.901889
3341835.193555,506664.161305
3341834.521591,506663.420721
3341833.849628,506662.680137
3341833.177664,506661.939553
3341832.505701,506661.198968
3341831.833737,506660.458384
3341831.161774,506659.717800
3341830.489810,506658.977216
3341829.817847,506658.236631
3341829.145883,506657.496047
3341828.473920,506656.755463
3341827.801956,506656.014879
3341827.129993,506655.274294
3341826.458029,506654.533710
3341825.786066,506653.793126
3341825.114102,506653.052542
3341824.442139,506652.311957
3341823.770175,506651.571373
3341823.098212,506650.830789
3341822.426248,506650.090205
3341821.754285,506649.349620
3341821.082321,506648.609036
3341820.410357,506647.868452
3341819.738394,506647.127868
3341819.066430,506646.387283
3341818.394467,506645.646699
3341817.722503,506644.906115
3341817.050540,506644.165531
3341816.378576,506643.424946
3341815.706613,506642.684362
3341815.034649,506641.943778
3341814.362686,506641.203194
3341813.690722,506640.462609
3341813.018759,506639.722025
3341812.346795,506638.981441
3341811.674832,506638.240857
3341811.002868,506637.500272
3341810.330905,506636.759688
3341809.658941,506636.019104
3341808.986978,506635.278520
3341808.315014,506634.537935
3341807.643051,506633.797351
3341806.971087,506633.056767
3341806.299123,506632.316183
3341805.627160,506631.575598
3341804.955196,506630.835014
3341804.283233,506630.094430
3341803.611269,506629.353846
3341802.939306,506628.613262
3341802.267342,506627.872677
3341801.595379,506627.132093
3341800.923415,506626.391509
3341800.251452,506625.650925
3341799.579488,506624.910340
3341798.907525,506624.169756
3341798.235561,506623.429172
3341797.563598,506622.688588
3341796.891634,506621.948003
3341796.219671,506621.207419
3341795.547707,506620.466835
3341794.875744,506619.726251
3341794.203780,506618.985666
3341793.531817,506618.245082
3341792.859853,506617.504498
3341792.187889,506616.763914
3341791.515926,506616.023329
3341790.843962,506615.282745
3341790.171999,506614.542161
3341789.500035,506613.801577
3341788.828072,506613.060992
3341788.156108,506612.320408
3341787.484145,506611.579824
3341786.812181,506610.839240
3341786.140218,506610.098655
3341785.468254,506609.358071
3341784.796291,506608.617487
3341784.124327,506607.876903
3341783.452364,506607.136318
3341782.780400,506606.395734
3341782.108437,506605.655150
3341781.436473,506604.914566
3341780.764510,506604.173981
3341780.092546,506603.433397
3341779.420583,506602.692813
3341778.748619,506601.952229
3341778.076656,506601.211644
3341777.404692,506600.471060
3341776.732728,506599.730476
3341776.060765,506598.989892
3341775.388801,506598.249308
3341774.716838,506597.508723
3341774.044874,506596.768139
3341773.372911,506596.027555
3341772.700947,506595.286971
3341772.028984,506594.546386
3341771.357020,506593.805802
3341770.685057,506593.065218
3341770.013093,506592.324634
3341769.341130,506591.584049
3341768.669166,506590.843465
3341767.997203,506590.102881
3341767.325239,506589.362297
3341766.653276,506588.621712
3341765.981312,506587.881128
3341765.309349,506587.140544
3341764.637385,506586.399960
3341763.965422,506585.659375
3341763.293458,506584.918791
3341762.621494,506584.178207
3341761.949531,506583.437623
3341761.277567,506582.697038
3341760.605604,506581.956454
3341759.933640,506581.215870
3341759.261677,506580.475286
3341758.589713,506579.734701
3341757.917750,506578.994117
3341757.245786,506578.253533
3341756.573823,506577.512949
3341755.901859,506576.772364
3341755.229896,506576.031780
3341754.557932,506575.291196
3341753.885969,506574.550612
3341753.214005,506573.810027
3341752.542042,506573.069443
3341751.870078,506572.328859
3341751.198115,506571.588275
3341750.526151,506570.847690
3341749.854188,506570.107106
3341749.182224,506569.366522
3341748.510260,506568.625938
3341747.838297,506567.885353
3341747.166333,506567.144769
3341746.494370,506566.404185
3341745.822406,506565.663601
3341745.150443,506564.923017
3341744.478479,506564.182432
3341743.806516,506563.441848
3341743.134552,506562.701264
3341742.462589,506561.960680
3341741.790625,506561.220095
3341741.118662,506560.479511
3341740.446698,506559.738927
3341739.774735,506558.998343
3341739.102771,506558.257758
3341738.430808,506557.517174
3341737.758844,506556.776590
3341737.086881,506556.036006
3341736.414917,506555.295421
3341735.742954,506554.554837
3341735.070990,506553.814253
3341734.399026,506553.073669
3341733.727063,506552.333084
3341733.055099,506551.592500
3341732.383136,506550.851916
3341731.711172,506550.111332
3341731.039209,506549.370747
3341730.367245,506548.630163
3341729.695282,506547.889579
3341729.023318,506547.148995
3341728.351355,506546.408410
3341727.679391,506545.667826
3341727.007428,506544.927242
3341726.335464,506544.186658
3341725.663501,506543.446073
3341724.991537,506542.705489
3341724.319574,506541.964905
3341723.647610,506541.224321
3341722.975647,506540.483736
3341722.303683,506539.743152
3341721.631720,506539.002568
3341720.959756,506538.261984
3341720.287792,506537.521399
3341719.615829,506536.780815
3341718.943865,506536.040231
3341718.271902,506535.299647
3341717.599938,506534.559062
3341716.927975,506533.818478
3341716.256011,506533.077894
3341715.584048,506532.337310
3341714.912084,506531.596726
3341714.240121,506530.856141
3341713.568157,506530.115557
3341712.896194,506529.374973
3341712.224230,506528.634389
3341711.552267,506527.893804
3341710.880303,506527.153220
3341710.208340,506526.412636
3341709.536376,506525.672052
3341708.864413,506524.931467
3341708.192449,506524.190883
3341707.520486,506523.450299
3341706.848522,506522.709715
3341706.176558,506521.969130
3341705.504595,506521.228546
3341704.832631,506520.487962
3341704.160668,506519.747378
3341703.488704,506519.006793
3341702.816741,506518.266209
3341702.144777,506517.525625
3341701.472814,506516.785041
3341700.800850,506516.044456
3341700.128887,506515.303872
3341699.456923,506514.563288
3341698.784960,506513.822704
3341698.112996,506513.082119
3341697.441033,506512.341535
3341696.769069,506511.600951
3341696.097106,506510.860367
3341695.425142,506510.119782
3341694.753179,506509.379198
3341694.081215,506508.638614
3341693.409252,506507.898030
3341692.737288,506507.157445
3341692.065324,506506.416861
3341691.393361,506505.676277
3341690.721397,506504.935693
3341690.049434,506504.195108
3341689.377470,506503.454524
3341688.705507,506502.713940
3341688.033543,506501.973356
3341687.361580,506501.232772
3341686.689616,506500.492187
3341686.017653,506499.751603
3341685.345689,506499.011019
3341684.673726,506498.270435
3341684.001762,506497.529850
3341683.329799,506496.789266
3341682.657835,506496.048682
3341681.985872,506495.308098
3341681.313908,506494.567513
3341680.641945,506493.826929
3341679.969981,506493.086345
3341679.298018,506492.345761
3341678.626054,506491.605176
3341677.954090,506490.864592
3341677.282127,506490.124008
3341676.610163,506489.383424
3341675.938200,506488.642839
3341675.266236,506487.902255
3341674.594273,506487.161671
3341673.922309,506486.421087
3341673.250346,506485.680502
3341672.578382,506484.939918
3341671.906419,506484.199334
3341671.234455,506483.458750
3341670.562492,506482.718165
3341669.890528,506481.977581
3341669.218565,506481.236997
3341668.546601,506480.496413
3341667.874638,506479.755828
3341667.202674,506479.015244
3341666.530711,506478.274660
3341665.858747,506477.534076
3341665.186784,506476.793491
3341664.514820,506476.052907
3341663.842856,506475.312323
3341663.170893,506474.571739
3341662.498929,506473.831154
3341661.826966,506473.090570
3341661.155002,506472.349986
3341660.483039,506471.609402
3341659.811075,506470.868817
3341659.139112,506470.128233
3341658.467148,506469.387649
3341657.795185,506468.647065
3341657.123221,506467.906481
3341656.451258,506467.165896
3341655.779294,506466.425312
3341655.107331,506465.684728
3341654.435367,506464.944144
3341653.763404,506464.203559
3341653.091440,506463.462975
3341652.419477,506462.722391
3341651.747513,506461.981807
3341651.075550,506461.241222
3341650.403586,506460.500638
3341649.731622,506459.760054
3341649.059659,506459.019470
3341648.387695,506458.278885
3341647.715732,506457.538301
3341647.043768,506456.797717
3341646.371805,506456.057133
3341645.699841,506455.316548
3341645.027878,506454.575964
3341644.355914,506453.835380
3341643.683951,506453.094796
3341643.011987,506452.354211
3341642.340024,506451.613627
3341641.668060,506450.873043
3341640.996097,506450.132459
3341640.324133,506449.391874
3341639.652170,506448.651290
3341638.980206,506447.910706
3341638.308243,506447.170122
3341637.636279,506446.429537
3341636.964316,506445.688953
3341636.292352,506444.948369
3341635.620388,506444.207785
3341634.948425,506443.467200
3341634.276461,506442.726616
3341633.604498,506441.986032
3341632.932534,506441.245448
3341632.260571,506440.504863
3341631.588607,506439.764279
3341630.916644,506439.023695
3341630.244680,506438.283111
3341629.572717,506437.542526
3341628.900753,506436.801942
3341628.228790,506436.061358
3341627.556826,506435.320774
3341626.884863,506434.580190
3341626.212899,506433.839605
3341625.540936,506433.099021
3341624.868972,506432.358437
3341624.197009,506431.617853
3341623.525045,506430.877268
3341622.853082,506430.136684
3341622.181118,506429.396100
3341621.509154,506428.655516
3341620.837191,506427.914931
3341620.165227,506427.174347
3341619.493264,506426.433763
3341618.821300,506425.693179
3341618.149337,506424.952594
3341617.477373,506424.212010
3341616.805410,506423.471426
3341616.133446,506422.730842
3341615.461483,506421.990257
3341614.789519,506421.249673
3341614.117556,506420.509089
3341613.445592,506419.768505
3341612.773629,506419.027920
3341612.101665,506418.287336
3341611.429702,506417.546752
3341610.757738,506416.806168
3341610.085775,506416.065583
3341609.413811,506415.324999
3341608.741848,506414.584415
3341608.069884,506413.843831
3341607.397920,506413.103246
3341606.725957,506412.362662
3341606.053993,506411.622078
3341605.382030,506410.881494
3341604.710066,506410.140909
3341604.038103,506409.400325
3341603.366139,506408.659741
3341602.694176,506407.919157
3341602.022212,506407.178572
3341601.350249,506406.437988
3341600.678285,506405.697404
3341600.006322,506404.956820
3341599.334358,506404.216235
3341598.662395,506403.475651
3341597.990431,506402.735067
3341597.318468,506401.994483
3341596.646504,506401.253899
3341595.974541,506400.513314
3341595.302577,506399.772730
3341594.630614,506399.032146
3341593.958650,506398.291562
3341593.286686,506397.550977
3341592.614723,506396.810393
3341591.942759,506396.069809
3341591.270796,506395.329225
3341590.598832,506394.588640
3341589.926869,506393.848056
3341589.254905,506393.107472
3341588.582942,506392.366888
3341587.910978,506391.626303
3341587.239015,506390.885719
3341586.567051,506390.145135
3341585.895088,506389.404551
3341585.223124,506388.663966
3341584.551161,506387.923382
3341583.879197,506387.182798
3341583.207234,506386.442214
3341582.535270,506385.701629
3341581.863307,506384.961045
3341581.191343,506384.220461
3341580.519380,506383.479877
3341579.847416,506382.739292
3341579.175453,506381.998708
3341578.503489,506381.258124
3341577.831525,506380.517540
3341577.159562,506379.776955
3341576.487598,506379.036371
3341575.815635,506378.295787
3341575.143671,506377.555203
3341574.471708,506376.814618
3341573.799744,506376.074034
3341573.127781,506375.333450
3341572.455817,506374.592866
3341571.783854,506373.852281
3341571.111890,506373.111697
3341570.439927,506372.371113
3341569.767963,506371.630529
3341569.096000,506370.889945
3341568.424036,506370.149360
3341567.752073,506369.408776
3341567.080109,506368.668192
3341566.408146,506367.927608
3341565.736182,506367.187023
3341565.064219,506366.446439
3341564.392255,506365.705855
3341563.720291,506364.965271
3341563.048328,506364.224686
3341562.376364,506363.484102
3341561.704401,506362.743518
3341561.032437,506362.002934
3341560.360474,506361.262349
3341559.688510,506360.521765
3341559.016547,506359.781181
3341558.344583,506359.040597
3341557.672620,506358.300012
3341557.000656,506357.559428
3341556.328693,506356.818844
3341555.656729,506356.078260
3341554.984766,506355.337675
3341554.312802,506354.597091
3341553.640839,506353.856507
3341552.968875,506353.115923
3341552.296912,506352.375338
3341551.624948,506351.634754
3341550.952985,506350.894170
3341550.281021,506350.153586
3341549.609057,506349.413001
3341548.937094,506348.672417
3341548.265130,506347.931833
3341547.593167,506347.191249
3341546.921203,506346.450664
3341546.249240,506345.710080
3341545.577276,506344.969496
3341544.905313,506344.228912
3341544.233349,506343.488327
3341543.561386,506342.747743
3341542.889422,506342.007159
3341542.217459,506341.266575
3341541.545495,506340.525990
3341540.873532,506339.785406
3341540.201568,506339.044822
3341539.529605,506338.304238
3341538.857641,506337.563654
3341538.185678,506336.823069
3341537.513714,506336.082485
3341536.841751,506335.341901
3341536.169787,506334.601317
3341535.497823,506333.860732
3341534.825860,506333.120148
3341534.153896,506332.379564
3341533.481933,506331.638980
3341532.809969,506330.898395
3341532.138006,506330.157811
3341531.466042,506329.417227
3341530.794079,506328.676643
3341530.122115,506327.936058
3341529.450152,506327.195474
3341528.778188,506326.454890
3341528.106225,506325.714306
3341527.434261,506324.973721
3341526.762298,506324.233137
3341526.090334,506323.492553
3341525.418371,506322.751969
